ReviewText,Sentiment
Review #1: Highly disappointing read.,0
Review #2: A page-turner with a powerful message.,2
Review #3: A masterpiece of storytelling.,2
Review #4: Heartwarming and inspiring read.,2
"Review #5: Neither good nor bad, just fine.",1
Review #6: Absolutely loved this book!,2
Review #7: Overhyped and underwhelming.,0
"Review #8: Some parts were slow, overall readable.",1
"Review #9: Had its moments, but not remarkable.",1
"Review #10: Neutral feelings, not very impactful.",1
"Review #11: Plain narrative, suitable for casual reading.",1
Review #12: Struggled to stay interested.,0
"Review #13: Had its moments, but not remarkable.",1
"Review #14: Neither good nor bad, just fine.",1
"Review #15: Terrible writing, couldn't finish it.",0
"Review #16: Plain narrative, suitable for casual reading.",1
"Review #17: Average read, nothing memorable.",1
"Review #18: It was okay, not too exciting.",1
Review #19: Uninspiring and boring.,0
Review #20: Did not enjoy the plot.,0
Review #21: Absolutely loved this book!,2
Review #22: A delightful and captivating narrative.,2
"Review #23: Too predictable, lacked depth.",0
Review #24: A delightful and captivating narrative.,2
Review #25: Couldn't put it down!,2
Review #26: A page-turner with a powerful message.,2
Review #27: Overhyped and underwhelming.,0
Review #28: Confusing plot and bad pacing.,0
Review #29: Confusing plot and bad pacing.,0
"Review #30: Some parts were slow, overall readable.",1
Review #31: Beautifully written and emotionally gripping.,2
"Review #32: Neither good nor bad, just fine.",1
"Review #33: Had its moments, but not remarkable.",1
"Review #34: Neither good nor bad, just fine.",1
Review #35: Struggled to stay interested.,0
Review #36: A page-turner with a powerful message.,2
Review #37: Confusing plot and bad pacing.,0
Review #38: Struggled to stay interested.,0
Review #39: A delightful and captivating narrative.,2
Review #40: Heartwarming and inspiring read.,2
Review #41: Heartwarming and inspiring read.,2
"Review #42: It was okay, not too exciting.",1
Review #43: Characters were vivid and compelling.,2
Review #44: Poor character development.,0
Review #45: Heartwarming and inspiring read.,2
"Review #46: Plain narrative, suitable for casual reading.",1
"Review #47: It was okay, not too exciting.",1
Review #48: Overhyped and underwhelming.,0
"Review #49: Had its moments, but not remarkable.",1
Review #50: A page-turner with a powerful message.,2
Review #51: Overhyped and underwhelming.,0
"Review #52: It was okay, not too exciting.",1
Review #53: Highly disappointing read.,0
Review #54: The best book I've read this year.,2
Review #55: Did not enjoy the plot.,0
Review #56: A page-turner with a powerful message.,2
Review #57: A masterpiece of storytelling.,2
"Review #58: Neutral feelings, not very impactful.",1
"Review #59: Average read, nothing memorable.",1
Review #60: The best book I've read this year.,2
Review #61: Couldn't put it down!,2
Review #62: The best book I've read this year.,2
Review #63: An amazing journey from start to finish.,2
"Review #64: Mediocre story, decent writing.",1
Review #65: Poor character development.,0
Review #66: Couldn't put it down!,2
Review #67: Heartwarming and inspiring read.,2
"Review #68: It was okay, not too exciting.",1
Review #69: Absolutely loved this book!,2
Review #70: Heartwarming and inspiring read.,2
"Review #71: Neither good nor bad, just fine.",1
"Review #72: Neutral feelings, not very impactful.",1
Review #73: A page-turner with a powerful message.,2
Review #74: A page-turner with a powerful message.,2
Review #75: A waste of time.,0
Review #76: An amazing journey from start to finish.,2
Review #77: Struggled to stay interested.,0
"Review #78: Plain narrative, suitable for casual reading.",1
"Review #79: It was okay, not too exciting.",1
"Review #80: Neutral feelings, not very impactful.",1
Review #81: Absolutely loved this book!,2
"Review #82: It was okay, not too exciting.",1
Review #83: Overhyped and underwhelming.,0
Review #84: Uninspiring and boring.,0
"Review #85: Neither good nor bad, just fine.",1
Review #86: Did not enjoy the plot.,0
"Review #87: It was okay, not too exciting.",1
"Review #88: Had its moments, but not remarkable.",1
Review #89: A straightforward plot with few surprises.,1
"Review #90: Had its moments, but not remarkable.",1
"Review #91: Typical story, met expectations.",1
Review #92: The best book I've read this year.,2
Review #93: An amazing journey from start to finish.,2
"Review #94: Neither good nor bad, just fine.",1
"Review #95: Typical story, met expectations.",1
Review #96: Poor character development.,0
Review #97: Beautifully written and emotionally gripping.,2
Review #98: Struggled to stay interested.,0
Review #99: Beautifully written and emotionally gripping.,2
"Review #100: Plain narrative, suitable for casual reading.",1
Review #101: Did not enjoy the plot.,0
Review #102: Uninspiring and boring.,0
Review #103: Heartwarming and inspiring read.,2
"Review #104: Mediocre story, decent writing.",1
"Review #105: Terrible writing, couldn't finish it.",0
Review #106: Couldn't put it down!,2
Review #107: The best book I've read this year.,2
"Review #108: Neutral feelings, not very impactful.",1
Review #109: Poor character development.,0
Review #110: A straightforward plot with few surprises.,1
Review #111: A masterpiece of storytelling.,2
Review #112: A page-turner with a powerful message.,2
"Review #113: Mediocre story, decent writing.",1
Review #114: Highly disappointing read.,0
Review #115: A straightforward plot with few surprises.,1
"Review #116: Some parts were slow, overall readable.",1
"Review #117: Neither good nor bad, just fine.",1
Review #118: Overhyped and underwhelming.,0
Review #119: A waste of time.,0
Review #120: A delightful and captivating narrative.,2
"Review #121: Neither good nor bad, just fine.",1
"Review #122: Some parts were slow, overall readable.",1
Review #123: Did not enjoy the plot.,0
Review #124: A masterpiece of storytelling.,2
Review #125: Highly disappointing read.,0
Review #126: Heartwarming and inspiring read.,2
"Review #127: Some parts were slow, overall readable.",1
"Review #128: Typical story, met expectations.",1
Review #129: Overhyped and underwhelming.,0
Review #130: Confusing plot and bad pacing.,0
"Review #131: It was okay, not too exciting.",1
Review #132: Did not enjoy the plot.,0
Review #133: A page-turner with a powerful message.,2
Review #134: Absolutely loved this book!,2
Review #135: A masterpiece of storytelling.,2
